file_type,file_type_code,size_bytes,entropy,printable_ratio,null_ratio,control_ratio,suspicious_keyword_hits,script_keyword_hits,url_count,base64_blob_count,has_mz,has_pdf,has_zip,is_json_valid,pe_section_count,pdf_js_count,pdf_openaction_count,pdf_embedded_count,doc_has_macro,doc_has_external_link,doc_has_embedding,json_command_fields,json_suspicious_values,text_length,label
exe,0,1181520,6.627551562976901,0.266251,0.024002,0.023751,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,5572,0
exe,0,7680,5.318221212332834,0.291483,0.128272,0.054609,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,14825,0
exe,0,57872,6.507757509400918,0.108263,0.034991,0.021633,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1869,0
exe,0,95616,4.575091713885185,0.245924,0.134563,0.045066,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,8223,0
exe,0,48128,5.545531401431807,0.216794,0.064511,0.053465,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,14848,0
exe,0,13411640,7.999276721726789,0.188465,0.044877,0.057861,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4349,0
exe,0,397936,6.295515117996485,0.124114,0.035475,0.052375,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,9667,0
exe,0,61968,5.766048864963969,0.309853,0.136757,0.036811,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,3582,0
exe,0,54272,6.00272676875526,0.243531,0.152705,0.040926,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,7300,0
exe,0,4079104,3.804130995323813,0.283189,0.027332,0.021395,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,3614,0
exe,0,106496,6.089724790530797,0.322383,0.158637,0.029006,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,12954,0
exe,0,26528,3.954612477943903,0.14229,0.076843,0.043509,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,6607,0
exe,0,56192,5.491776623610539,0.238876,0.05917,0.033113,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,8196,0
exe,0,787048,5.864199725982959,0.278,0.154856,0.0488,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,2051,0
exe,0,163840,5.6781466327501855,0.309312,0.084186,0.013309,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,11311,0
exe,0,287720,6.4599234280252285,0.155283,0.099877,0.054234,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,5681,0
exe,0,467456,5.794842002289455,0.168869,0.05946,0.038068,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,15038,0
exe,0,45016,6.72830615309447,0.333434,0.083904,0.020966,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,17696,0
exe,0,2904952,7.997965726306521,0.228314,0.140925,0.053055,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,6242,0
exe,0,4051984,7.998835595872227,0.305941,0.087546,0.013176,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,16337,0
exe,0,17152,5.764449137694043,0.23757,0.175373,0.053039,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4753,0
exe,0,184320,6.160023201432731,0.277245,0.105915,0.023341,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4655,0
exe,0,8192,4.769481266768751,0.17631,0.045305,0.010162,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,17403,0
exe,0,21504,5.846005817309421,0.29811,0.101229,0.015321,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,17635,0
exe,0,4023808,3.760440707503186,0.258332,0.044454,0.048126,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,1018,0
exe,0,14336,5.579800684491977,0.255726,0.098177,0.015593,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,11076,0
exe,0,219888,3.4437182211366117,0.162258,0.058539,0.038368,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,3806,0
exe,0,136192,6.033295851260645,0.290296,0.150564,0.058899,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,5120,0
exe,0,102928,6.045276442462991,0.133382,0.096045,0.03749,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,14865,0
exe,0,51320,4.983024756439078,0.350734,0.168626,0.047763,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11214,0
exe,0,45568,6.1269641475497485,0.203738,0.12747,0.028671,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,15794,0
exe,0,33088,6.895963823808795,0.131461,0.055952,0.026904,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,8540,0
exe,0,167440,6.6621873839880985,0.252994,0.021151,0.045392,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,8501,0
exe,0,29088,5.696597383801666,0.117524,0.025026,0.026521,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,8798,0
exe,0,3072,3.673940138277639,0.172404,0.097666,0.036962,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,16488,0
exe,0,54600,6.226295413640636,0.163179,0.095676,0.030353,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4176,0
exe,0,224768,6.434237261755492,0.271336,0.076688,0.030555,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4224,0
exe,0,14688,6.3776013247154735,0.115759,0.136514,0.05003,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,9147,0
exe,0,19968,5.992747495730382,0.149813,0.105806,0.017009,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,10127,0
